id,name,country,region_fullname,winary_fullname,url,bottle_url
1313936,Merlot Reserva,Portugal,Península de Setúbal,Casa Ermelinda Freitas,https://www.vivino.com/US-CA/en/merlot-reserva-terras-do-sado-red-wine-v-9exkq/w/1313936,https://images.vivino.com/thumbs/plY0afSFRPyO_eFPZOc1UA_pb_x600.png
4896272,Tricot,Portugal,Alentejano,Susana Esteban,https://www.vivino.com/US-CA/en/tricot/w/4896272,https://images.vivino.com/thumbs/-GSEGl38SOuw15hBSZ4NPA_pb_x600.png
3575062,Equinócio Branco,Portugal,Alentejano,Cabeças do Reguengo,https://www.vivino.com/US-CA/en/equinocio-branco/w/3575062,https://images.vivino.com/thumbs/Oj6ZTVz4SzKPCW1xMUxAFQ_pb_x600.png
1205379,Vintage Port,Portugal,Porto,Quinta de La Rosa,https://www.vivino.com/US-CA/en/vintage-port/w/1205379,https://images.vivino.com/thumbs/CFCSKXDXQ9qLLkFhSpxEJg_pb_x600.png
8597541,Raríssimo Clarete,Portugal,Dão,Osvaldo Amado,https://www.vivino.com/US-CA/en/rarissimo-clarete/w/8597541,https://images.vivino.com/thumbs/6m5Ede5tSP-EUe1N4RW4zg_pb_x600.png
2568177,Sauvignon Blanc,Portugal,Bairrada,Quinta dos Abibes,https://www.vivino.com/US-CA/en/sauvignon-blanc/w/2568177,https://images.vivino.com/thumbs/9cE6YL41RVCqqcCzQhd63A_pb_x600.png
8510110,Artesano by Moreto,Portugal,Alentejo,Elite Vinhos,https://www.vivino.com/US-CA/en/artesano-by-moreto/w/8510110,https://images.vivino.com/thumbs/kNA_QET0S4S3kuLzj2MxCA_pb_x600.png
4930781,Munda Alfrocheiro,Portugal,Dão,Quinta do Mondego,https://www.vivino.com/US-CA/en/munda-alfrocheiro/w/4930781,https://images.vivino.com/thumbs/Oj-VvX4xTm2AwtJZHf9cuQ_150x200.jpg
6785327,Herdade do Moinho Branco Alicante Bouschet,Portugal,Alentejo,Ribafreixo Wines,https://www.vivino.com/US-CA/en/herdade-do-moinho-branco-alicante-bouschet/w/6785327,https://images.vivino.com/thumbs/AcfqcyHVTLaRWc8oh4O8Ow_150x200.jpg
1613531,Porto Vintage,Portugal,Porto,Quinta Nova de Nossa Senhora do Carmo,https://www.vivino.com/US-CA/en/porto-vintage/w/1613531,https://images.vivino.com/thumbs/99xJvR4xS9-OyEqtTfoq1w_pb_x600.png
